#OTU ID	MQ201019-23	MQ201019-24	MQ201019-25	MQ201019-26	MQ201019-27	MQ201019-28	MQ201019-29	MQ201019-30	MQ201019-31	MQ201019-32	MQ201019-33	MQ201019-34	MQ201019-35	MQ201019-36	MQ201019-37	MQ201019-38	MQ201019-39	MQ201019-40	MQ201019-41	MQ201019-42	MQ201019-43	MQ201019-44	MQ201019-45	MQ201019-46	MQ201019-47	MQ201019-48	MQ201019-49	MQ201019-50	MQ201019-51	MQ201019-52	MQ201019-53	MQ201019-54	MQ201019-55	MQ201019-56	MQ201019-57	MQ201019-58	MQ201019-59	MQ201019-60	MQ201019-61	MQ201019-62	MQ201019-63	MQ201019-64	MQ201019-65	MQ201019-66	MQ201019-67	MQ201019-68	MQ201019-69	MQ201019-70	MQ201019-71	MQ201019-72	MQ201019-73	MQ201019-74	MQ201019-75	MQ201019-76	MQ201019-77	MQ201019-78	MQ201019-79	MQ201019-80	MQ201019-81	MQ201019-82	MQ201019-83	MQ201019-84	MQ201019-85	MQ201019-86	MQ201019-87	MQ201019-88	MQ201019-89	MQ201019-90
ASV258	55	41	55	53	81	79	0	0	17	37	10	40	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	4	0	0	0	0	0	0	0	0	13	14	14	28	15	19	26	26	1	0	2	0	0	0	1	1	0	0	0	0
ASV6	907	753	1620	1812	1753	2010	0	2	1776	2254	953	2843	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0
ASV386	78	54	47	54	63	45	0	1	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0	0	0	2	31	36	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1
ASV314	46	38	8	12	7	10	5	3	90	55	45	56	7	3	0	4	2	1	2	1	0	0	0	0	0	0	0	0	10	5	12	14	0	0	0	0	0	0	2	1	2	3	2	2	3	1	4	2	2	3	6	1	0	5	2	9	0	0	0	1	4	6	2	8	2	0	0	1
ASV35	41	24	0	0	0	0	0	0	67	28	30	29	84	69	69	104	125	78	101	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	646	671	102	113	84	65	71	102	293	305	336	335	81	43	78	97	149	191	81	112	83	111	192	200	34	35	37	29	3	6	43	47
ASV141	152	151	56	48	82	105	0	0	159	102	118	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	32	31	0	0	2	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV947	20	16	14	15	11	10	0	0	5	5	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	2	0	0	0	0	2	3	0	0	0	0	0	0	0	0	1	0	1	0	1	3	0	1	5	12	6	3	0	1	0	1	0	0	0	1
ASV109	73	59	239	296	322	324	0	0	43	121	42	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	45	41	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV324	36	25	23	42	42	42	0	0	56	73	14	38	4	2	3	6	6	6	4	4	0	0	0	0	0	0	0	0	0	0	0	0	2	10	7	9	2	4	7	7	1	3	0	1	0	0	2	1	6	4	4	3	4	6	6	13	0	0	1	1	1	0	1	1	0	1	0	0
ASV550	144	128	15	13	21	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0
