SeqID	SampleID	Replicate_type	Continent	Country	Country_code	City	Latitude	Longitude	Sampling_date	Temperature	Temperature_range	Digester_location	Digester_technology	Primary_substrate	Digester_age	Ammonium	TS	VS	pH	Volumen	SRT
MQ200925-133	AU-25-B	Biological	Oceania	Australia	AU	City18	-33.96	151.25	17/01/2020	37.9	Mesophilic	WWTP	CSTR	Wastewater sludge	50		38.1	22.5	7.2	10400	23
MQ200925-134	AU-26-A	Biological	Oceania	Australia	AU	City19	-31.78	115.78	30/01/2020	37.4	Mesophilic	WWTP	CSTR	Wastewater sludge	30	547	13.9	10.981	6.96	4700	20
MQ200925-135	AU-26-B	Biological	Oceania	Australia	AU	City19	-31.78	115.78	30/01/2020	37.4	Mesophilic	WWTP	CSTR	Wastewater sludge	30	547	13.9	10.981	6.96	4700	20
MQ200925-136	AU-27-A	Biological	Oceania	Australia	AU	City19	-31.78	115.78	30/01/2020	37.8	Mesophilic	WWTP	CSTR	Wastewater sludge	30	558	14.1	11.139	7.01	4700	21.6
MQ200925-137	AU-27-B	Biological	Oceania	Australia	AU	City19	-31.78	115.78	30/01/2020	37.8	Mesophilic	WWTP	CSTR	Wastewater sludge	30	558	14.1	11.139	7.01	4700	21.6
MQ200925-138	AU-28-A	Biological	Oceania	Australia	AU	City19	-31.78	115.78	30/01/2020	37.3	Mesophilic	WWTP	CSTR	Wastewater sludge	30	627	14.2	11.218	7	4700	22.8
MQ200925-139	AU-28-B	Biological	Oceania	Australia	AU	City19	-31.78	115.78	30/01/2020	37.3	Mesophilic	WWTP	CSTR	Wastewater sludge	30	627	14.2	11.218	7	4700	22.8
MQ200925-140	AU-29-A	Biological	Oceania	Australia	AU	City19	-31.78	115.78	30/01/2020	37.3	Mesophilic	WWTP	CSTR	Wastewater sludge	30	538	14.3	11.297	6.97	4700	20
MQ200925-141	AU-29-B	Biological	Oceania	Australia	AU	City19	-31.78	115.78	30/01/2020	37.3	Mesophilic	WWTP	CSTR	Wastewater sludge	30	538	14.3	11.297	6.97	4700	20
MQ200925-142	AU-30-A	Biological	Oceania	Australia	AU	City19	-32.15	115.77	30/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	20	1330	27.4	20.824	7.18	8000	21.5
MQ200925-143	AU-30-B	Biological	Oceania	Australia	AU	City19	-32.15	115.77	30/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	20	1330	27.4	20.824	7.18	8000	21.5
MQ200925-144	AU-31-A	Biological	Oceania	Australia	AU	City19	-32.15	115.77	30/01/2020	37.4	Mesophilic	WWTP	CSTR	Wastewater sludge	20	1240	27.1	20.596	7.14	8000	21.4
MQ200925-145	AU-31-B	Biological	Oceania	Australia	AU	City19	-32.15	115.77	30/01/2020	37.4	Mesophilic	WWTP	CSTR	Wastewater sludge	20	1240	27.1	20.596	7.14	8000	21.4
MQ200925-146	AU-32-A	Biological	Oceania	Australia	AU	City20	-27.38	153.15	31/01/2020	39.3	Mesophilic	WWTP	Other	Wastewater sludge	46	900	28	19.6	7.3	5500	
MQ200925-147	AU-32-B	Biological	Oceania	Australia	AU	City20	-27.38	153.15	31/01/2020	39.3	Mesophilic	WWTP	Other	Wastewater sludge	46	900	28	19.6	7.3	5500	
MQ200925-148	AU-33-A	Biological	Oceania	Australia	AU	City20	-27.38	153.15	31/01/2020	39.1	Mesophilic	WWTP	Other	Wastewater sludge	46	900	28	19.6	7.3	5500	
MQ200925-149	AU-33-B	Biological	Oceania	Australia	AU	City20	-27.38	153.15	31/01/2020	39.1	Mesophilic	WWTP	Other	Wastewater sludge	46	900	28	19.6	7.3	5500	
MQ200925-150	AU-34-A	Biological	Oceania	Australia	AU	City20	-27.38	153.15	31/01/2020	39.1	Mesophilic	WWTP	Other	Wastewater sludge	46	900	30	21	7.3	5500	
MQ200925-151	AU-34-B	Biological	Oceania	Australia	AU	City20	-27.38	153.15	31/01/2020	39.1	Mesophilic	WWTP	Other	Wastewater sludge	46	900	30	21	7.3	5500	
MQ200925-152	AU-35-A	Biological	Oceania	Australia	AU	City20	-27.38	153.15	31/01/2020	39	Mesophilic	WWTP	Other	Wastewater sludge	46	900	28	19.6	7.3	5500	
MQ200925-153	AU-35-B	Biological	Oceania	Australia	AU	City20	-27.38	153.15	31/01/2020	39	Mesophilic	WWTP	Other	Wastewater sludge	46	900	28	19.6	7.3	5500	
